Month,Link ID,Short_url (Nexi dùng dẫn link) ,Link source 1 (Dùng để học thêm thông tin),Link source 2 (Dùng để học thêm thông tin),Title,Description,content_summary,category
,LNK_001,https://amzn.to/3e8fHTb,https://sellercentral.amazon.com/help/hub/reference/external/201975730,,Thay đổi địa chỉ doanh nghiệp của bạn,Hướng dẫn thay đổi địa chỉ doanh nghiệp của tài khoản bán hàng,Hướng dẫn gồm 4 bước để nhà bán hàng biết cách Truy cập trang Cài đặt -> Thông tin tài khoản để thay đổi: Địa chỉ doanh nghiệp,update information
,LNK_002,https://amzn.to/48kngB8,https://sell.amazon.vn/dang-ky-tai-khoan?ld=SOVNSOAFACEBOOK_NSW-AccReg_NULL_FP-Post_ProcessUpdate_2025-11-27,,Đăng ký tài khoản bán hàng trên Amazon,Hướng dẫn từng bước đăng ký tài khoản bán hàng trên Amazon hoàn toàn bằng tiếng Việt,"Hướng dẫn cách tạo tài khoản bán hàng trên Amazon hoàn toàn bằng tiếng Việt, bao gồm quy trình đăng ký chi tiết từng bước, các lỗi thường gặp và cách khắc phục.",account registration
,LNK_003,https://amzn.to/3MJKFC9,https://m.media-amazon.com/images/G/28/AS/AGS/SU/VN_GS_Account_Registration_Guidance_VN.pdf,,Mô phỏng chi tiết quá trình đăng ký,Hướng dẫn từng bước đăng ký tài khoản bán hàng trên Amazon hoàn toàn bằng tiếng Việt và có hình ảnh minh hoạ,"Mô phỏng quá trình đăng ký tài khoản theo 3 quy trình chính kèm mục hỗ trợ với câu hỏi thường gặp. Từng quy trình được hướng dẫn cụ thể, có hình ảnh minh hoạ kèm ví dụ.",account registration
,LNK_004,https://amzn.to/3MT87fv,https://sell.amazon.vn/ban-do-hoat-dong-kinh-doanh-cua-thuong-hieu-tren-amazon?ld=SOVNSOA2024BrandingRoadmap_Facebook,,Đăng ký thương hiệu,Bản đồ hoạt động kinh doanh của thương hiệu trên Amazon,"Sơ đồ tóm tắt về phương thức vận hành và các công cụ hỗ trợ dành cho nhà bán hàng có thương hiệu, được giới thiệu chi tiết và hướng dẫn sử dụng một cách hiệu quả hơn 30 công cụ nằm ở 6 module chính trong hành trình xây dựng thương hiệu.",Brand Registry
,LNK_005,https://amzn.to/4b60EEM,https://sell.amazon.vn/nha-cung-cap-dich-vu/dang-ky-thuong-hieu?ref_=sdvn_soa_grow_BrandregSPN_i,,Danh sách các nhà cung cấp dịch vụ đăng ký thương hiệu,Danh sách nhà cung cấp dịch vụ đăng ký thương hiệu,"Danh sách nhà cung cấp dịch vụ đăng ký thương hiệu kèm theo thông tin giới thiệu, danh sách dịch vụ và thông tin liên hệ",Brand Registry
,LNK_006,https://amzn.to/3eOyi5A,https://sellercentral.amazon.com/help/hub/reference/external/GWHNLFB8G85QAZ5W,,Cập nhật tài khoản ngân hàng,"Thêm, cập nhật, kiểm tra thông tin tài khoản ngân hàng","Hướng dẫn từng quy trình: thêm thông tin tài khoản ngân hàng, cập nhật thông tin tài khoản ngân hàng hiện có, xem và kiểm tra tài khoản ngân hàng, xoá tài khoản ngân hàng",update information
,LNK_007,https://amzn.to/2QO1ZMn,https://sellercentral.amazon.com/help/hub/reference/external/201841320,,Cập nhật địa chỉ giao hàng,Hướng dẫn cập nhật địa chỉ giao hàng,"Hướng dẫn từng bước cập nhật địa chỉ giao hàng mặc định, quản lý và xoá ship-from addresses",update information
,LNK_008, https://amzn.to/3O3Evgg ,https://sellercentral.amazon.com/gp/help/help.html?itemID=64491&language=vi_VN&ref=xx_64491_cont_69034,,Lợi ích của tài khoản Cá nhân/ Chuyên nghiệp,So sánh tài khoản Cá nhân với Chuyên nghiệp,Liệt kê các điểm cần chú ý của từng loại tài khoản để nhà bán hàng có lựa chọn phù hợp với kế hoạch kinh doanh của họ,account registration
,LNK_009,https://amzn.to/427tDUO,Program Policies,,Chính sách trên Amazon,Các loại chính sách trên Amazon,"Danh sách các loại chính sách trên Amazon bao gồm: chính sách chung, tài sản trí tuệ, yêu cầu về sản phẩm và đăng tải sản phẩm, vận chuyển, thuế và các chính sách khác",policy
,LNK_010,https://amzn.to/3HeQQe6 ,https://sell.amazon.vn/tin-tuc/cap-nhat-phi-gioi-thieu-va-hoan-thien-don-hang-2024?ref_=sdvn_soa_sell_news_i,,Chính sách mới ,Cập nhật phí Giới thiệu và phí Hoàn thiện đơn hàng bởi Amazon,"Bước vào năm 2024, Amazon triển khai một số thay đổi về phí nhằm hỗ trợ quý Đối tác tiếp tục mang lại dịch vụ khách hàng tốt hơn, đồng thời giảm thiểu chi phí vận hành chung.",policy
,LNK_011,https://amzn.to/3XIXK43,https://sell.amazon.vn/huong-dan-dang-tai-san-pham?ld=SOVNSOA2025AIlisting_All_Facebook,,Hướng dẫn Listing,Hướng dẫn đăng tải sản phẩm trên Amazon,"Bộ tài liệu chính thức từ A-Z về Đăng tải sản phẩm, hướng dẫn nâng cấp và hoàn thiện Đăng tải sản phẩm, giúp nhà bán hàng mới tạo và tối ưu Đăng tải sản phẩm nhanh chóng, đồng thời hỗ trợ nhà bán hàng lâu năm tự kiểm tra, liên tục cập nhật và tối ưu hóa, tạo được các trang chi tiết sản phẩm chất lượng cao.",listing
,LNK_012,https://amzn.to/48YwGRw,https://sellercentral.amazon.com/help/hub/reference/external/G201468480?locale=vi-VN,,Hình ảnh sản phẩm,Tạo danh mục sản phẩm cho tài khoản quốc tế,Hướng dẫn tạo danh mục sản phẩm với 5 bước và cách sử dụng công cụ để đăng tải sản phẩm ,listing
,LNK_013,https://amzn.to/2Y1LonY,https://sell.amazon.vn/bat-dau-ban-hang-tren-amazon,,Danh mục sản phẩm chỉ dành cho người bán chuyên nghiệp,Thư viện kiến thức bán hàng trên Amazon,"Bộ cẩm nang kiến thức bán hàng trên Amazon theo ba giai đoạn chính: Khám phá cơ hội, Đánh giá tiềm năng, và Các bước chuẩn bị trước khi bán hàng",SOA
,LNK_014,https://amzn.to/3jaSGQR,https://sellercentral.amazon.com/help/hub/reference/external/200426310?locale=vi-VN,,Miễn trừ product ID,Đăng tải những sản phẩm không có Product ID,Hướng dẫn đăng tải đối với những sản phẩm không có Product ID kèm theo các lưu ý,listing
,LNK_015,https://amzn.to/3sC9FB3,https://sellercentral.amazon.com/help/hub/reference/external/G200211450?locale=vi-VN,,Cách lấy mã sản phẩm,Hướng dẫn lấy mã sản phẩm,Danh sách các loại mã sản phẩm phổ biến nhất và hướng dẫn cách lấy mã sản phẩm,listing
,LNK_016,https://amzn.to/3O6fwt9,https://sellercentral.amazon.com/help/hub/reference/external/G201844590?locale=vi-VN,,Chính sách tạo ASIN,Các chính sách khi tạo ASIN,Amazon giới hạn việc tạo mã ASIN mới cho một thương hiệu đã đăng ký trong Hệ thống Đăng ký Thương hiệu bởi những người bán không được chỉ định vai trò bán hàng cho thương hiệu đó.,ASIN
,LNK_017,https://amzn.to/47eZG6e,https://sell.amazon.vn/huong-dan-lua-chon-san-pham?ref_=sdvn_soa_nav_grow_n,,Xu hướng tiêu dùng mới nhất trên Amazon,Hướng dẫn lựa chọn sản phẩm dễ bán hàng trên Amazon,Danh mục các ngành hàng kèm theo guidebook chi tiết hỗ trợ tìm sản phẩm phù hợp thông qua nghiên cứu thị trường và lợi thế cạnh tranh của Việt Nam,product selection
,LNK_018,https://amzn.to/4912JQM ,https://sell.amazon.vn/huong-dan-lua-chon-san-pham/trinh-kham-pha-co-hoi-san-pham?fbclid=IwAR0VhsZhfsibolZZGIheKm-3rbM8xaoSbRirNX_lTJ5ck4WmSvvd9QgR_Tw,,Chi tiết cách sử dụng công cụ OX,Trình khám phá cơ hội sản phẩm: Giúp việc tìm kiếm cơ hội sản phẩm mới trở nên dễ dàng hơn bao giờ hết,"Không chỉ dừng lại ở thông tin về những danh mục bán chạy, Trình khám phá cơ hội sản phẩm còn mang tới những dữ liệu chuyên sâu về phân khúc tiềm năng. Thông qua công cụ này, bạn có thể biết khách hàng muốn gì và tập trung vào các sản phẩm sẽ bán trên cửa hàng Amazon dựa theo nhu cầu của khách hàng, cụm từ tìm kiếm, xu hướng sản phẩm và các tiêu chí khác.",product selection
,LNK_019,https://amzn.to/4aCwKb2,https://sell.amazon.vn/huong-dan-lua-chon-san-pham/huong-dan-ve-san-pham-tren-thi-truong,,Tìm hiểu dữ liệu ngành hàng/ nhu cầu sản phẩm toàn cầu,Hướng dẫn về sản phẩm trên thị trường,"MPG là công cụ Hướng dẫn về sản phẩm trên thị trường miễn phí được Amazon tùy chỉnh dành cho người bán, giúp việc lựa chọn sản phẩm trở nên dễ dàng hơn bao giờ hết. Dựa trên danh mục sản phẩm hiện có, Công cụ Hướng dẫn về sản phẩm trên thị trường cung cấp cho người bán một loạt dữ liệu bao gồm đề xuất sản phẩm có nhu cầu cao, sở thích của khách hàng, hiệu suất danh mục, tỷ lệ hoàn trả và phí quảng cáo một cách hiệu quả, giúp người bán đưa ra quyết định tung sản phẩm bán chéo một cách thuận lợi nhất.",product selection
,LNK_020,https://amzn.to/3Kc5aZE,https://sell.amazon.vn/hoan-thien-don-hang-boi-amazon-fba?ld=SOVNSOAFBAGuideBook2025_All_Facebook,,Giới thiệu về FBA ,"FBA là từ viết tắt của Fulfillment By Amazon, nghĩa là Hoàn thiện đơn hàng bởi Amazon.","Những điều cần biết về FBA - Giới thiệu về FBA, cách thức hoạt động của FBA, các loại phí khi sử dụng FBA và cách đăng ký sử dụng FBA",FBA
,LNK_021,https://amzn.to/3egWtL0,https://sellercentral.amazon.com/help/hub/reference/external/200140860,,Các sản phẩm bị giới hạn cho dịch vụ FBA,Một số sản phẩm đạt chuẩn trên Amazon nhưng không đạt chuẩn đối với FBA mà nhà bán hàng cần lưu ý,Nội dung liên quan đến các sản phẩm không đạt chuẩn đối với FBA kèm theo link thông tin chi tiết cho từng loại sản phẩm,FBA
,LNK_022,https://amzn.to/3w90Jlv,https://sellercentral.amazon.com/help/hub/reference/external/201030350?ref=efph_201030350_cont_G3EDYEF6KUCFQTNM&locale=en-US,,Chính sách và hướng dẫn đóng gói,Chính sách và yêu cầu của FBA,"Chi tiết về 4 chính sách và 2 yêu cầu của FBA khi nhà bán hàng sử dụng FBA, kèm theo link thông tin chi tiết cho từng nội dung chính sách/yêu cầu",FBA
,LNK_023,https://amzn.to/huongdanFBA,https://m.media-amazon.com/images/G/01/AGS/SEA/FBAstepbystepguideVN._CB1535077126_.pdf?ref_=asvn_fba_sg_b_pb,,Tham khảo hướng dẫn đăng ký và sử dụng FBA (tiếng Việt),Tài liệu hướng dẫn chung để bắt đầu với Hoàn thiện đơn hàng bởi Amazon,"Hướng dẫn chi tiết quy trình đăng ký sử dụng FBA, từ bước thiết lập tài khoản, tạo lô hàng cho đến quản lý đơn hàng",FBA
,LNK_024,https://amzn.to/3AmUEp5,https://sellercentral.amazon.com/help/hub/reference/external/201003400?ref=efph_201003400_cont_G3EDYEF6KUCFQTNM&locale=en-US,,Hướng dẫn về sản phẩm nguy hiểm,Thông tin về các hàng hoá nguy hiểm liên quan đến sản phẩm được bán trên Amazon,"Hàng hóa nguy hiểm (còn gọi là vật liệu nguy hiểm) là các chất hoặc vật liệu có thể gây rủi ro trong quá trình lưu trữ, xử lý hoặc vận chuyển vì chúng chứa các chất dễ cháy, có áp suất, ăn mòn hoặc các chất gây hại khác. Để ngăn ngừa các rủi ro tiềm ẩn về sức khỏe và an toàn, Amazon thu thập thông tin về hàng hóa nguy hiểm liên quan đến bất kỳ sản phẩm nào được bán trên Amazon.",listing
,LNK_025,https://amzn.to/3OJBu4O,https://sellercentral.amazon.com/help/hub/reference/external/G201074400?locale=vi-VN#wjz_cjc_jcb-3,,Cách tính phí FBA,"Các tính năng, dịch vụ và chi phí của FBA","Giới thiệu tổng quan về FBA. Nội dung chi tiết về các tính năng (dịch vụ khách hàng, bán hàng xuyên biên giới), dịch vụ (vận chuyển, đóng gói, hoàn thiện đơn hàng đa kênh,...), các chi phí (phí lưu kho, phí thu gom và xử lý, phí trả hàng,...)",FBA
